act_symbol,ex_date,to_factor,for_factor
ALZN,2023-10-31,1.00000,15.00000
ALZN,2024-07-16,1.00000,10.00000
ALZN,2025-05-12,1.00000,9.00000
AMBO,2024-02-20,1.00000,10.00000
AMC,2022-08-22,2.00000,1.00000
AMC,2023-08-24,1.00000,10.00000
AMCR,2026-01-15,1.00000,5.00000
AMDY,2025-12-08,1.00000,5.00000
AMIX,2024-10-25,1.00000,20.00000
AMLP,2020-05-18,1.00000,5.00000
AMPE,2022-11-10,1.00000,15.00000
AMPE,2023-09-12,1.00000,20.00000
AMPG,2021-02-17,1.00000,20.00000
AMRH,2019-11-25,1.00000,25.00000
AMRK,2022-06-07,2.00000,1.00000
AMRN,2025-04-11,1.00000,20.00000
AMRS,2017-06-06,1.00000,15.00000
AMSC,2015-03-25,1.00000,10.00000
AMST,2023-02-22,1.00000,12.00000
AMTD,2022-11-22,1.00000,2.00000
AMTD,2023-11-17,1.00000,3.00000
AMWL,2024-07-11,1.00000,20.00000
AMZA,2020-03-31,1.00000,10.00000
AMZE,2025-06-13,1.00000,23.00000
AMZN,2022-05-26,20.00000,1.00000
AMZN,2022-06-06,20.00000,1.00000
ANET,2021-11-18,4.00000,1.00000
ANET,2024-12-04,4.00000,1.00000
ANGH,2025-08-04,1.00000,10.00000
ANGI,2025-03-24,1.00000,10.00000
ANGN,2023-06-02,1.00000,10.00000
ANPC,2022-11-04,1.00000,20.00000
ANTE,2022-12-12,1.00000,4.00000
ANY,2023-06-29,1.00000,7.00000
AOS,2016-10-05,2.00000,1.00000
APDN,2024-04-25,1.00000,20.00000
APDN,2025-03-14,1.00000,50.00000
APDN,2025-06-02,1.00000,15.00000
APEX,2019-09-27,1.00000,3.00000
APG,2025-07-01,1.50000,1.00000
APH,2014-10-09,2.00000,1.00000
APH,2021-02-12,3.00000,1.00000
APH,2021-03-05,2.00000,1.00000
APH,2024-05-31,2.00000,1.00000
APH,2024-06-12,2.00000,1.00000
APLD,2022-04-13,1.00000,6.00000
APLM,2024-11-25,1.00000,100.00000
APM,2023-01-23,1.00000,10.00000
APOP,2021-09-24,1.00000,4.00000
APPX,2025-10-21,3.00000,1.00000
APRE,2023-02-13,1.00000,20.00000
APRN,2019-06-17,1.00000,15.00000
APRN,2023-06-08,1.00000,12.00000
APTO,2023-06-06,1.00000,15.00000
APTO,2025-02-26,1.00000,30.00000
APVO,2020-03-27,1.00000,14.00000
APVO,2024-03-06,1.00000,44.00000
APVO,2024-12-04,1.00000,37.00000
APVO,2025-05-27,1.00000,20.00000
APVO,2025-12-30,1.00000,18.00000
AQB,2023-10-16,1.00000,20.00000
AQMS,2024-11-05,1.00000,20.00000
AQMS,2025-08-04,1.00000,10.00000
ARAV,2018-10-16,1.00000,6.00000
ARBB,2025-06-02,1.00000,15.00000
ARBK,2025-12-12,1.00000,216.00000
ARCX,2025-12-02,1.00000,5.00000
AREB,2022-02-07,1.00000,80.00000
AREB,2023-06-27,1.00000,25.00000
AREB,2024-10-02,1.00000,9.00000
AREB,2025-03-31,1.00000,25.00000
AREB,2025-10-03,1.00000,20.00000
AREB,2026-02-02,1.00000,20.00000
ARKB,2025-06-16,3.00000,1.00000
ARLP,2014-06-16,2.00000,1.00000
ARNA,2017-06-19,1.00000,10.00000
ARQQ,2024-09-25,1.00000,25.00000
ARR,2015-08-03,1.00000,8.00000
ARR,2023-10-02,1.00000,5.00000
ARTL,2022-08-10,1.00000,15.00000
ARTL,2025-06-13,1.00000,6.00000
ARVL,2023-04-14,1.00000,50.00000
ASAP,2022-11-22,1.00000,20.00000
ASBP,2026-01-16,1.00000,40.00000
ASLN,2023-03-13,1.00000,5.00000
ASLN,2024-07-03,1.00000,8.00000
ASMB,2014-07-14,1.00000,5.00000
ASMB,2024-02-12,1.00000,12.00000
ASNA,2019-12-19,1.00000,20.00000
ASNS,2023-04-19,1.00000,10.00000
ASNS,2025-11-18,1.00000,10.00000
ASPS,2025-04-03,2.00000,1.00000
ASPS,2025-05-28,1.00000,8.00000
ASRT,2021-05-18,1.00000,4.00000
ASRT,2025-12-26,1.00000,15.00000
ASST,2024-07-02,1.00000,5.00000
ASST,2026-02-06,1.00000,20.00000
ASTC,2017-10-16,1.00000,5.00000
ASTC,2022-12-05,1.00000,30.00000
ASTI,2023-09-12,1.00000,200.00000
ASTI,2024-08-15,1.00000,100.00000
ASTR,2023-09-14,1.00000,15.00000
ATAX,2022-04-04,1.00000,3.00000
ATCH,2025-01-02,1.00000,60.00000
ATEC,2016-08-25,1.00000,12.00000
ATER,2024-03-22,1.00000,12.00000
ATHA,2025-09-18,1.00000,10.00000
ATHE,2023-01-09,1.00000,10.00000
ATHX,2022-08-29,1.00000,25.00000
ATIF,2021-08-30,1.00000,5.00000
ATIP,2023-06-15,1.00000,50.00000
ATLX,2022-12-23,1.00000,750.00000
ATNF,2022-12-19,1.00000,20.00000
ATNF,2024-02-28,1.00000,19.00000
ATNM,2020-08-11,1.00000,30.00000
ATNX,2023-02-15,1.00000,20.00000
ATOS,2016-08-26,1.00000,15.00000
ATOS,2018-04-20,1.00000,12.00000
ATOS,2026-02-02,1.00000,15.00000
ATPC,2024-08-30,1.00000,20.00000
ATRA,2024-06-20,1.00000,25.00000
ATRO,2014-09-19,6.00000,5.00000
ATRO,2015-10-22,23.00000,20.00000
ATRO,2016-10-18,23.00000,20.00000
ATRO,2018-10-22,23.00000,20.00000
ATTO,2020-07-30,1.00000,5.02709
ATXG,2023-06-30,1.00000,10.00000
ATXI,2022-09-23,1.00000,15.00000
ATXI,2024-04-26,1.00000,75.00000
AUID,2023-07-10,1.00000,8.00000
AULT,2023-05-18,1.00000,300.00000
AULT,2024-01-17,1.00000,25.00000
AUMN,2023-06-09,1.00000,25.00000
AUUD,2024-02-27,1.00000,25.00000
AUUD,2025-03-31,1.00000,17.00000
AUVI,2023-05-31,1.00000,5.00000
AUVI,2023-12-12,1.00000,25.00000
AVCT,2022-10-03,1.00000,15.00000
AVEO,2020-02-20,1.00000,10.00000
AVGO,2024-07-15,10.00000,1.00000
AVGR,2018-01-31,1.00000,40.00000
AVGR,2019-06-21,1.00000,10.00000
AVGR,2022-03-15,1.00000,20.00000
AVGR,2023-09-13,1.00000,15.00000
AVNW,2016-06-14,1.00000,12.00000
AVNW,2021-04-08,2.00000,1.00000
AVRO,2024-06-21,1.00000,12.00000
AVTE,2025-04-29,1.00000,35.00000
AVTX,2022-07-08,1.00000,12.00000
AVTX,2023-12-29,1.00000,240.00000
AWH,2023-05-12,1.00000,15.00000
AWIN,2024-04-02,1.00000,100.00000
AXAS,2020-10-19,1.00000,20.00000
AXDX,2023-07-12,1.00000,10.00000
AXIA,2025-12-22,1.26283,1.00000
AXLA,2023-09-19,1.00000,25.00000
AYRO,2020-05-29,2.00000,1.00000
AYRO,2023-09-18,1.00000,8.00000
AYRO,2025-06-26,1.00000,16.00000
AYTU,2020-12-09,1.00000,10.00000
AYTU,2023-01-06,1.00000,20.00000
AZ,2024-10-08,1.00000,2.50000
AZI,2025-12-12,1.00000,50.00000
AZTR,2024-07-01,1.00000,30.00000
AZTR,2025-08-21,1.00000,6.66000
BACK,2023-09-08,1.00000,30.00000
BAM,2015-05-12,3.00000,2.00000
BANF,2017-07-31,2.00000,1.00000
BAOS,2022-05-25,1.00000,3.20000
BAOS,2023-03-22,1.00000,6.00000
BBAX,2021-04-12,1.00000,2.00000
BBBY,2025-10-02,11.00000,10.00000
BBCA,2021-04-12,1.00000,2.00000
BBD,2022-04-19,1.10000,1.00000
BBDO,2022-04-19,1.10000,1.00000
BBEU,2021-04-12,1.00000,2.00000
BBGI,2024-09-24,1.00000,20.00000
BBI,2022-07-05,1.00000,45.00000
BBIG,2023-05-11,1.00000,20.00000
BBJP,2021-04-12,1.00000,2.00000
BBLG,2021-10-13,1.00000,2.50000
BBLG,2023-06-07,1.00000,30.00000
BBLG,2023-12-20,1.00000,8.00000
BBLG,2025-06-10,1.00000,6.00000
BBLGW,2023-06-07,1.00000,30.00000
BBLN,2022-12-16,1.00000,25.00000
BBSA,2021-04-12,1.00000,2.00000
BBSI,2024-06-24,4.00000,1.00000
BCAN,2024-03-22,1.00000,190.00000
BCAN,2024-08-26,1.00000,17.00000
BCDA,2024-05-30,1.00000,15.00000
BCLI,2024-10-01,1.00000,15.00000
BCTX,2025-01-29,1.00000,15.00000
BCTX,2025-08-25,1.00000,10.00000
BDRX,2023-03-27,1.00000,4.00000
BDRX,2023-07-05,1.00000,80.00000
BDRX,2024-10-04,1.00000,25.00000
BDRX,2025-07-31,1.00000,10.00000
BDSX,2025-09-15,1.00000,20.00000
BEDU,2022-08-19,1.00000,4.00000
BENF,2024-04-18,1.00000,80.00000
BENF,2025-12-15,1.00000,8.00000
BEP,2020-12-14,3.00000,2.00000
BEPC,2020-12-14,3.00000,2.00000
BERZ,2024-03-25,1.00000,10.00000
BEST,2022-05-20,1.00000,5.00000
BEST,2023-04-04,1.00000,4.00000
BETR,2024-08-19,1.00000,50.00000
BETS,2024-01-10,1.00000,1000.00000
BFRI,2023-07-05,1.00000,20.00000
BGLC,2023-07-20,1.00000,12.00000
BGLC,2025-04-07,1.00000,10.00000
BHAT,2022-05-27,1.00000,10.00000
BHAT,2025-03-17,1.00000,100.00000
BHB,2014-05-19,3.00000,2.00000
BHB,2017-03-21,3.00000,2.00000
BHG,2023-05-19,1.00000,80.00000
BHG,2023-05-22,1.00000,80.00000
BHIL,2024-07-19,1.00000,35.00000
BIAF,2025-09-19,1.00000,30.00000
BIMI,2022-02-03,1.00000,5.00000
BIMI,2022-12-12,1.00000,10.00000
BINI,2025-08-04,1.00000,250.00000
BINI,2025-09-22,1.00000,250.00000
BIOC,2018-07-10,1.00000,30.00000
BIOC,2020-09-08,1.00000,10.00000
BIOC,2023-05-17,1.00000,30.00000
BIOL,2018-05-11,1.00000,5.00000
BIOL,2022-04-29,1.00000,25.00000
BIOL,2023-07-28,1.00000,100.00000
BIOR,2023-01-03,1.00000,25.00000
BIOR,2024-10-18,1.00000,10.00000
BIP,2016-09-15,3.00000,2.00000
BIP,2022-06-03,3.00000,2.00000
BIP,2022-06-13,3.00000,2.00000
BIPC,2022-06-03,3.00000,2.00000
BIPC,2022-06-13,3.00000,2.00000
BIRD,2024-09-05,1.00000,20.00000
BIS,2020-08-18,1.00000,4.00000
BITI,2024-11-07,1.00000,5.00000
BITS,2022-12-20,1.00000,4.00000
BIVI,2024-08-06,1.00000,10.00000
BIVI,2025-07-07,1.00000,10.00000
BIYA,2025-12-30,1.00000,25.00000
BJDX,2023-07-24,1.00000,20.00000
BJDX,2024-06-20,1.00000,8.00000
BJDX,2024-11-18,1.00000,50.00000
BJDX,2026-01-29,1.00000,4.00000
BKCH,2022-12-20,1.00000,4.00000
BKJ,2018-08-01,21.00000,20.00000
BKKT,2024-04-29,1.00000,25.00000
BKSC,2018-05-31,11.00000,10.00000
BKSY,2024-09-09,1.00000,8.00000
BKT,2022-10-18,1.00000,3.00000
BKTI,2023-04-24,1.00000,5.00000
BKYI,2020-11-20,1.00000,8.00000
BKYI,2023-12-21,1.00000,18.00000
BLBX,2023-04-11,1.00000,4.00000
BLCM,2020-02-06,1.00000,10.00000
BLL,2017-05-16,2.00000,1.00000
BLMZ,2025-11-21,1.00000,10.00000
BLNE,2025-03-12,1.00000,10.00000
BLPH,2020-02-10,1.00000,15.00000
BLRX,2025-01-30,1.00000,40.00000
BLUE,2024-12-13,1.00000,20.00000
BMI,2016-09-15,2.00000,1.00000
BMNR,2025-05-16,1.00000,20.00000
BMRA,2025-04-21,1.00000,8.00000
BMRC,2018-11-27,2.00000,1.00000
BN,2025-10-10,3.00000,2.00000
BNAI,2025-12-12,1.00000,10.00000
BNDD,2025-09-05,1.00000,8.00000
BNED,2024-06-12,1.00000,100.00000
BNGO,2023-08-07,1.00000,10.00000
BNGO,2025-01-27,1.00000,60.00000
BNKD,2021-03-29,1.00000,10.00000
BNKD,2024-04-29,1.00000,5.00000
BNKK,2025-12-11,1.00000,35.00000
BNL,2020-09-21,4.00000,1.00000
BNMV,2023-05-04,1.00000,30.00000
BNMV,2023-05-15,1.00000,30.00000
BNR,2024-05-15,1.00000,10.00000
BNRG,2023-12-04,1.00000,10.00000
BNRG,2025-06-20,1.00000,5.00000
BNRG,2026-01-26,1.00000,7.00000
BNT,2025-10-10,3.00000,2.00000
BNTC,2023-07-26,1.00000,17.00000
BNZI,2024-09-19,1.00000,50.00000
BNZI,2025-07-08,1.00000,10.00000
BODY,2023-11-22,1.00000,50.00000
BOIL,2020-04-21,1.00000,10.00000
BOIL,2023-06-23,1.00000,20.00000
BOIL,2024-11-07,1.00000,5.00000
BOLT,2025-06-09,1.00000,20.00000
BON,2024-04-11,1.00000,10.00000
BON,2025-05-19,1.00000,25.00000
BORR,2021-12-14,1.00000,2.00000
BOXL,2023-06-15,1.00000,8.00000
BOXL,2025-02-18,1.00000,5.00000
BOXL,2025-12-23,1.00000,6.00000
BPTH,2018-02-09,1.00000,10.00000
BPTH,2019-01-18,1.00000,20.00000
BPTH,2024-02-23,1.00000,20.00000
BPTS,2023-03-30,1.00000,10.00000
BQ,2022-05-31,1.00000,8.00000
BQ,2022-06-03,1.00000,6.00000
BQ,2023-08-21,0.30000,1.00000
BQ,2025-01-21,1.00000,10.00000
BQ,2025-07-11,1.00000,160.00000
BRDS,2023-05-19,1.00000,25.00000
BREA,2025-06-26,1.00000,10.00000
BRO,2018-03-28,2.00000,1.00000
BRQS,2022-06-27,1.00000,16.00000
BRQS,2023-10-10,1.00000,12.00000
BRSH,2023-08-01,1.00000,25.00000
BRW,2022-05-20,1.00000,2.00000
BRZU,2020-04-23,1.00000,35.00000
BSFC,2023-06-21,1.00000,20.00000
BSFC,2024-05-20,1.00000,50.00000
BSGM,2024-02-02,1.00000,10.00000
BSLK,2025-04-22,1.00000,20.00000
BTAI,2025-02-10,1.00000,16.00000
BTB,2022-12-15,1.00000,15.00000
BTC,2024-11-20,1.00000,5.00000
BTCM,2022-12-23,1.00000,10.00000
BTCS,2023-03-24,2.00000,1.00000
BTCS,2023-05-11,2.00000,1.00000
BTCY,2023-07-03,1.00000,6.00000
BTF,2026-01-26,1.00000,5.00000
BTOG,2023-05-30,1.00000,30.00000
BTOG,2026-01-20,1.00000,60.00000
BTTR,2024-03-21,1.00000,44.00000
BTU,2015-10-01,1.00000,15.00000
BTX,2021-03-26,1.00000,2.00000
BULZ,2022-10-31,1.00000,10.00000
BURG,2020-04-01,1.00000,26.00000
BURU,2024-07-24,1.00000,40.00000
BVXV,2022-11-25,1.00000,10.00000
BW,2019-07-23,1.00000,10.00000
BXC,2016-06-14,1.00000,10.00000
BXRX,2022-02-16,1.00000,35.00000
BXRX,2022-09-28,2.00000,1.00000
BXRX,2022-12-01,1.00000,40.00000
BYFC,2023-11-01,1.00000,8.00000
BYU,2023-10-30,1.00000,50.00000
BZFD,2024-05-06,1.00000,4.00000
BZQ,2021-05-25,1.00000,2.00000
BZQ,2022-05-27,1.00000,2.00000
BZQ,2025-11-20,1.00000,2.00000
CAC,2016-09-30,3.00000,2.00000
CALA,2022-06-15,1.00000,20.00000
CALC,2023-03-20,1.00000,14.00000
CALM,2014-10-31,2.00000,1.00000
CAMP,2024-02-02,1.00000,23.00000
CANF,2023-01-09,1.00000,10.00000
CANF,2026-01-05,1.00000,20.00000
CANO,2023-11-03,1.00000,100.00000
CAOS,2023-03-23,1.00000,8.00000
CAPE,2021-06-04,10.00000,1.00000
CAPR,2019-06-05,1.00000,10.00000
CARA,2024-12-31,1.00000,12.00000
CARA,2025-04-16,1.00000,3.00000
CARM,2023-03-08,1.00000,20.00000
CARO,2015-07-31,6.00000,5.00000
CASH,2018-10-05,3.00000,1.00000
CASI,2022-06-01,1.00000,10.00000
CASI,2022-06-02,1.00000,10.00000
CASS,2017-12-07,11.00000,10.00000
CASS,2018-12-14,6.00000,5.00000
CATB,2018-12-31,1.00000,10.00000
CATX,2024-06-17,1.00000,10.00000
CBB,2016-10-05,1.00000,5.00000
CBIO,2017-02-13,1.00000,15.00000
CBSH,2017-12-18,21.00000,20.00000
CBSH,2024-12-03,1.05000,1.00000
CBSH,2025-12-02,1.05000,1.00000
CBUS,2023-06-01,1.00000,5.00000
CCM,2024-07-30,1.00000,10.00000
CCNC,2022-11-09,1.00000,30.00000
CCTG,2026-01-23,1.00000,10.00000
CDIO,2025-05-13,1.00000,30.00000
CDOR,2017-03-16,1.00000,7.00000
CDR,2020-11-27,1.00000,6.60000
CDT,2025-01-27,1.00000,100.00000
CDT,2025-05-20,1.00000,15.00000
CDT,2025-10-13,1.00000,8.00000
CDTX,2024-04-24,1.00000,20.00000
CEAD,2022-02-09,1.00000,150.00000
CEAD,2024-06-07,1.00000,12.00000
CEI,2022-12-21,1.00000,50.00000
CEI,2022-12-30,1.00000,50.00000
CELG,2014-06-26,2.00000,1.00000
CELH,2023-11-15,3.00000,1.00000
CELU,2024-02-29,1.00000,10.00000
CELZ,2023-06-12,1.00000,10.00000
CEM,2020-07-28,1.00000,5.00000
CEN,2020-07-06,1.00000,10.00000
CENN,2023-12-01,1.00000,10.00000
CENN,2023-12-08,1.00000,10.00000
CENT,2024-01-05,5.00000,4.00000
CENT,2024-02-09,5.00000,4.00000
CENTA,2024-01-05,5.00000,4.00000
CENTA,2024-02-09,5.00000,4.00000
CERO,2025-01-08,1.00000,100.00000
CERO,2025-06-13,1.00000,20.00000
CETX,2019-06-13,1.00000,6.00000
CETX,2023-01-23,1.00000,35.00000
CETX,2023-01-25,1.00000,35.00000
CETX,2024-10-03,1.00000,60.00000
CETX,2024-11-26,1.00000,35.00000
CETX,2025-09-29,1.00000,15.00000
CETXP,2024-09-30,1.05000,1.00000
CETXP,2025-03-31,1.05000,1.00000
CETY,2025-10-06,1.00000,15.00000
CF,2015-06-18,5.00000,1.00000
CFBK,2018-08-21,2.00000,11.00000
CFMS,2022-11-10,1.00000,25.00000
CFRX,2020-02-04,1.00000,10.00000
CFRX,2023-02-15,1.00000,80.00000
CGA,2019-06-27,1.00000,12.00000
CGC,2023-12-20,1.00000,10.00000
CGIX,2019-10-25,1.00000,30.00000
CGNX,2017-12-04,2.00000,1.00000
CHD,2016-09-02,2.00000,1.00000
CHDN,2019-01-28,3.00000,1.00000
CHDN,2023-05-22,2.00000,1.00000
CHEK,2022-11-25,1.00000,20.00000
CHFS,2017-10-13,1.00000,20.00000
CHFS,2019-01-03,1.00000,14.00000
CHFS,2020-10-19,1.00000,30.00000
CHIR,2022-12-20,1.00000,3.00000
CHK,2020-04-15,1.00000,200.00000
CHNR,2023-04-03,1.00000,5.00000
CHNR,2025-06-13,1.00000,8.00000
CHPT,2025-07-28,1.00000,20.00000
CHR,2023-11-27,1.00000,10.00000
CHR,2025-12-23,1.00000,50.00000
CHRA,2022-12-30,1.00000,10.00000
CHRO,2025-07-02,1.00000,10.00000
CHSN,2025-08-18,1.00000,80.00000
CIDM,2016-05-10,1.00000,10.00000
CIG,2022-05-02,1.30000,1.00000
CIG,2022-05-19,1.30000,1.00000
CIG,2024-05-02,130.00000,100.00000
CIG,2024-05-24,1.30000,1.00000
CIG.C,2022-05-02,1.30000,1.00000
CIG.C,2022-05-19,1.30000,1.00000
CIG.C,2024-05-02,130.00000,100.00000
CIG.C,2024-05-24,130.00000,100.00000
CIM,2015-04-07,1.00000,5.00000
CIM,2024-05-22,1.00000,3.00000
CING,2023-11-30,1.00000,20.00000
CING,2024-08-09,1.00000,12.00000
CISO,2024-03-08,1.00000,15.00000
CISS,2024-04-12,1.00000,100.00000
CISS,2025-01-02,1.00000,2.50000
CISS,2025-04-04,1.00000,6.00000
CISS,2026-01-26,1.00000,20.00000
CJET,2024-07-08,1.00000,30.00000
CJET,2025-11-03,1.00000,100.00000
CJJD,2022-04-07,1.00000,12.00000
CJJD,2024-03-01,1.00000,20.00000
CKPT,2022-12-06,1.00000,10.00000
CLBS,2016-07-28,1.00000,10.00000
CLDI,2024-07-15,1.00000,10.00000
CLDI,2025-08-05,1.00000,12.00000
CLDX,2019-02-11,1.00000,15.00000
CLEU,2024-01-19,1.00000,15.00000
CLEU,2024-12-24,1.00000,15.00000
CLEU,2025-03-03,1.00000,80.00000
CLIK,2025-10-10,1.00000,30.00000
CLIP,2024-06-17,1.00000,4.00000
CLNN,2024-07-11,1.00000,20.00000
CLR,2014-09-10,2.00000,1.00000
CLRB,2022-07-22,1.00000,10.00000
CLRB,2025-06-24,1.00000,30.00000
CLRO,2025-06-10,1.00000,15.00000
CLRO,2025-07-11,2.00000,1.00000
CLSD,2025-09-15,1.00000,15.00000
CLSK,2019-12-11,1.00000,10.00000
CLSN,2017-05-30,1.00000,14.00000
CLSN,2022-03-01,1.00000,15.00000
CLVR,2023-08-25,1.00000,30.00000
CLWT,2022-01-06,3.00000,2.00000
CLWT,2022-01-24,3.00000,2.00000
CLXT,2023-04-25,1.00000,10.00000
CLXT,2023-06-01,1.00000,5.00000
CM,2022-05-05,2.00000,1.00000
CM,2022-05-16,2.00000,1.00000
CMAX,2024-02-01,1.00000,30.00000
CMCM,2022-09-02,1.00000,5.00000
CMCSA,2017-02-17,2.00000,1.00000
CMCT,2014-04-29,1.00000,5.00000
CMCT,2019-09-03,1.00000,3.00000
CMCT,2024-09-25,1.02015,1.00000
CMCT,2025-01-06,1.00000,10.00000
CMCT,2025-04-15,1.00000,25.00000
CMG,2024-06-26,50.00000,1.00000
CMLS,2016-10-13,1.00000,8.00000
CMMB,2021-03-17,1.00000,16.00000
CMMB,2025-08-26,1.00000,4.00000
CMND,2023-11-28,1.00000,30.00000
CMND,2025-12-15,1.00000,40.00000
CNBS,2025-02-21,1.00000,12.00000
CNC,2015-02-19,2.00000,1.00000
CNC,2018-12-12,2.00000,1.00000
CNC,2019-02-06,2.00000,1.00000
CNET,2016-08-19,1.00000,3.00000
